full_geoid,state,name,wiki_url
05000US08075,CO,Logan County,"https://en.wikipedia.org/wiki/Logan_County,_Colorado"
05000US08077,CO,Mesa County,"https://en.wikipedia.org/wiki/Mesa_County,_Colorado"
05000US08079,CO,Mineral County,"https://en.wikipedia.org/wiki/Mineral_County,_Colorado"
05000US08081,CO,Moffat County,"https://en.wikipedia.org/wiki/Moffat_County,_Colorado"
05000US08083,CO,Montezuma County,"https://en.wikipedia.org/wiki/Montezuma_County,_Colorado"
05000US08085,CO,Montrose County,"https://en.wikipedia.org/wiki/Montrose_County,_Colorado"
05000US08087,CO,Morgan County,"https://en.wikipedia.org/wiki/Morgan_County,_Colorado"
05000US08089,CO,Otero County,"https://en.wikipedia.org/wiki/Otero_County,_Colorado"
05000US08091,CO,Ouray County,"https://en.wikipedia.org/wiki/Ouray_County,_Colorado"
05000US08093,CO,Park County,"https://en.wikipedia.org/wiki/Park_County,_Colorado"
